state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Jammu & Kashmir,Kamrup,Market A,Apple,Processed,22/09/2024,6229,12591,7949
Goa,Coimbatore,Market C,Tomato,Raw,09/10/2024,82351,95130,84883
Goa,Kamrup,Market B,Arecanut,Bold,19/01/2025,24509,37076,29951
Jammu & Kashmir,North Goa,Market C,Ginger,Rasthali,29/12/2024,51140,65929,51774
Nagaland,North Goa,Market B,Turmeric,Processed,28/07/2024,41001,54944,54031
Goa,North Goa,Market A,Cashew,Raw,25/04/2024,44025,49089,44593
Himachal Pradesh,Gangtok,Market E,Arecanut,Local,24/03/2025,44404,45356,44522
Himachal Pradesh,Kamrup,Market E,Apple,Bold,07/03/2025,15208,25482,22327
Sikkim,Gangtok,Market D,Onion,Local,08/06/2024,16157,22968,20880
Goa,Shimla,Market A,Arecanut,Bold,08/06/2024,69146,82859,77967
Goa,Gangtok,Market D,Banana,Processed,30/05/2024,82678,88321,88112
Tamil Nadu,Shimla,Market E,Apple,Raw,11/05/2024,43753,50845,49464
Himachal Pradesh,Mysuru,Market B,Cashew,Raw,09/10/2024,88153,94864,93701
Assam,Pune,Market E,Apple,Raw,19/08/2024,72819,86978,72825
Himachal Pradesh,Shimla,Market B,Arecanut,Hybrid,09/07/2024,80516,91742,85795
Nagaland,Kohima,Market D,Cashew,Local,10/09/2024,63021,76525,76063
Assam,Coimbatore,Market C,Tomato,Hybrid,25/04/2024,44933,46963,46609
Goa,Shimla,Market B,Cashew,Fresh,24/12/2024,4201,5458,4702
Nagaland,Pune,Market A,Turmeric,Raw,07/07/2024,83544,93475,86729
Jammu & Kashmir,Kohima,Market D,Cashew,Fresh,03/05/2024,86990,98756,87080
Tamil Nadu,Srinagar,Market B,Ginger,Local,02/01/2025,61889,63211,63030
Goa,Coimbatore,Market D,Ginger,Premium,30/06/2024,88500,97702,97657
Maharashtra,Gangtok,Market D,Onion,Local,09/03/2025,56933,71041,65909
Nagaland,Kamrup,Market D,Turmeric,Red Delicious,15/05/2024,99536,104086,101807
Karnataka,Kohima,Market B,Apple,Premium,20/11/2024,11155,23345,15836
Goa,Shimla,Market C,Black Pepper,Local,11/10/2024,11561,14328,12178
Goa,Srinagar,Market B,Cashew,Rasthali,08/07/2024,55377,62555,58087
Karnataka,Kohima,Market D,Cardamom,Whole,21/01/2025,56069,62950,62375
Maharashtra,Ernakulam,Market E,Arecanut,Premium,11/12/2024,1772,8035,4218
Jammu & Kashmir,Srinagar,Market E,Tomato,Hybrid,27/04/2024,29906,38405,33501
Himachal Pradesh,Srinagar,Market D,Cardamom,Raw,14/01/2025,45057,56515,56184
Jammu & Kashmir,Kamrup,Market D,Ginger,Hybrid,28/06/2024,71008,71949,71936
Jammu & Kashmir,Pune,Market E,Cardamom,Rasthali,18/12/2024,85246,92768,86357
Nagaland,Kamrup,Market A,Apple,Raw,23/05/2024,43906,47873,45768
Sikkim,Gangtok,Market D,Apple,Raw,17/03/2025,34065,48244,35406
Nagaland,Ernakulam,Market E,Cardamom,Processed,13/02/2025,30389,41540,31513
Kerala,Ernakulam,Market B,Cashew,Bold,06/01/2025,82439,85435,83416
Assam,Kohima,Market A,Onion,Whole,21/04/2024,61952,73912,66150
Sikkim,Kamrup,Market E,Onion,Rasthali,08/04/2025,22465,28061,23350
Maharashtra,Ernakulam,Market C,Onion,Raw,02/10/2024,52990,65204,56239
Tamil Nadu,Pune,Market B,Banana,Red Delicious,18/07/2024,90687,101024,92670
Maharashtra,Ernakulam,Market C,Tomato,Raw,19/03/2025,87706,94277,88270
Karnataka,Gangtok,Market A,Arecanut,Premium,06/10/2024,14833,22435,17800
Nagaland,Kamrup,Market D,Ginger,Local,26/10/2024,86256,91181,90664
Nagaland,Kohima,Market D,Onion,Red Delicious,04/09/2024,43245,57699,47267
Tamil Nadu,Shimla,Market D,Cashew,Premium,17/08/2024,75691,86190,81900
Sikkim,Ernakulam,Market D,Black Pepper,Fresh,27/06/2024,64904,68879,66357
Himachal Pradesh,Gangtok,Market C,Onion,Red Delicious,19/10/2024,73848,74514,74377
Goa,Coimbatore,Market B,Arecanut,Premium,12/01/2025,73768,86689,77705
Nagaland,Kohima,Market D,Cardamom,Rasthali,31/12/2024,39566,43696,42878
Goa,Shimla,Market E,Black Pepper,Premium,26/12/2024,73544,82742,79176
Jammu & Kashmir,Mysuru,Market C,Black Pepper,Premium,08/03/2025,36509,42032,38568
Goa,Coimbatore,Market B,Black Pepper,Rasthali,01/01/2025,98370,107649,101403
Goa,North Goa,Market D,Apple,Hybrid,12/04/2025,69765,80042,74401
Tamil Nadu,North Goa,Market C,Cashew,Processed,13/10/2024,24519,29971,24634
Karnataka,Kamrup,Market C,Cardamom,Bold,05/06/2024,73529,78815,74563
Nagaland,Coimbatore,Market A,Onion,Red Delicious,10/06/2024,62524,70867,69740
Sikkim,Kamrup,Market A,Apple,Premium,19/03/2025,15953,29922,17023
Jammu & Kashmir,Kohima,Market A,Onion,Bold,04/11/2024,20887,23831,23192
Himachal Pradesh,Coimbatore,Market B,Banana,Local,10/09/2024,55548,65981,65314
Maharashtra,North Goa,Market E,Arecanut,Premium,05/07/2024,59028,64399,63849
Jammu & Kashmir,Shimla,Market E,Onion,Bold,26/09/2024,80905,93530,82530
Goa,North Goa,Market C,Banana,Fresh,28/11/2024,32439,35786,34699
Tamil Nadu,Kamrup,Market A,Arecanut,Premium,20/12/2024,91357,101586,99056
Himachal Pradesh,Ernakulam,Market B,Apple,Red Delicious,10/07/2024,93141,107724,100579
Tamil Nadu,North Goa,Market C,Onion,Whole,15/11/2024,56723,59103,58953
Goa,Kamrup,Market C,Ginger,Rasthali,26/07/2024,8816,12034,10075
Maharashtra,Pune,Market C,Turmeric,Rasthali,19/05/2024,62433,74216,67415
Jammu & Kashmir,Shimla,Market E,Tomato,Premium,01/11/2024,58377,60194,59601
Kerala,Srinagar,Market C,Onion,Red Delicious,13/05/2024,4390,6386,4858
Maharashtra,Pune,Market A,Apple,Hybrid,30/10/2024,6273,19275,18663
Assam,Kohima,Market E,Turmeric,Red Delicious,11/04/2025,24788,34878,31929
Nagaland,Coimbatore,Market D,Black Pepper,Raw,02/12/2024,44687,50447,50176
Tamil Nadu,Kamrup,Market C,Arecanut,Premium,25/05/2024,38777,50132,45338
Karnataka,Ernakulam,Market D,Banana,Processed,17/02/2025,34082,39878,35031
Jammu & Kashmir,Mysuru,Market A,Tomato,Premium,09/02/2025,55165,56553,55549
Karnataka,Gangtok,Market E,Turmeric,Premium,28/07/2024,7764,11599,8857
Karnataka,Kamrup,Market C,Turmeric,Premium,30/04/2024,16915,17887,17560
Maharashtra,North Goa,Market B,Apple,Local,03/10/2024,2792,12340,9476
Tamil Nadu,North Goa,Market A,Turmeric,Rasthali,14/05/2024,85896,100029,88418
Nagaland,Shimla,Market E,Apple,Raw,19/02/2025,64242,72478,68235
Nagaland,Mysuru,Market B,Arecanut,Whole,20/07/2024,79561,88388,81797
Tamil Nadu,Shimla,Market D,Black Pepper,Local,11/02/2025,36018,49961,36060
Himachal Pradesh,Shimla,Market E,Onion,Premium,18/10/2024,20476,28292,24888
Nagaland,Gangtok,Market C,Tomato,Local,25/08/2024,50441,58401,58082
Sikkim,North Goa,Market B,Onion,Raw,01/12/2024,31613,46137,44319
Jammu & Kashmir,Ernakulam,Market C,Turmeric,Raw,17/03/2025,51604,62977,62286
Assam,Kohima,Market A,Ginger,Local,18/03/2025,78356,84295,79178
Nagaland,Coimbatore,Market E,Turmeric,Bold,03/05/2024,95692,98553,97371
Assam,Coimbatore,Market D,Apple,Processed,22/06/2024,82691,94540,89203
Tamil Nadu,Gangtok,Market E,Arecanut,Processed,23/01/2025,83155,95430,91149
Karnataka,Ernakulam,Market E,Banana,Whole,31/05/2024,83727,95440,88435
Goa,Coimbatore,Market D,Banana,Rasthali,01/07/2024,59153,62378,61995
Himachal Pradesh,Ernakulam,Market A,Black Pepper,Bold,02/03/2025,39452,45825,42522
Jammu & Kashmir,Kamrup,Market B,Tomato,Raw,03/01/2025,75177,86847,78127
Assam,Kamrup,Market A,Onion,Raw,03/12/2024,82226,93918,86171
Nagaland,Pune,Market B,Cashew,Premium,10/05/2024,84611,89272,88375
Himachal Pradesh,Ernakulam,Market D,Apple,Local,19/06/2024,21706,23416,22610
Sikkim,Pune,Market C,Arecanut,Red Delicious,09/09/2024,60878,75227,65827
Goa,Srinagar,Market D,Banana,Whole,17/03/2025,50986,60856,56867
Maharashtra,Shimla,Market C,Cardamom,Raw,19/05/2024,36976,37608,37555
Kerala,Pune,Market D,Apple,Whole,01/03/2025,80569,94207,86341
Goa,North Goa,Market E,Apple,Fresh,15/12/2024,83345,85436,83506
Himachal Pradesh,Kohima,Market A,Onion,Processed,28/04/2024,96991,99644,97360
Himachal Pradesh,Gangtok,Market D,Ginger,Whole,10/01/2025,18322,31708,27159
Sikkim,Mysuru,Market E,Apple,Fresh,11/01/2025,34681,48692,42575
Himachal Pradesh,Gangtok,Market A,Turmeric,Rasthali,07/06/2024,19449,32305,23145
Jammu & Kashmir,Mysuru,Market C,Banana,Raw,12/05/2024,2824,7656,7219
Tamil Nadu,Kohima,Market C,Apple,Hybrid,02/05/2024,50941,64915,61402
Sikkim,Coimbatore,Market B,Turmeric,Bold,04/11/2024,82205,97192,91403
Sikkim,Pune,Market B,Banana,Premium,18/02/2025,92891,98342,98209
Jammu & Kashmir,Coimbatore,Market B,Cardamom,Bold,20/03/2025,40893,49464,42795
Tamil Nadu,North Goa,Market E,Ginger,Raw,16/01/2025,60459,67037,65951
Karnataka,Srinagar,Market E,Ginger,Raw,09/01/2025,86841,88963,88845
Maharashtra,Srinagar,Market C,Cardamom,Processed,06/02/2025,29477,37241,33119
Goa,Gangtok,Market A,Black Pepper,Local,03/11/2024,85518,91894,86014
Jammu & Kashmir,Shimla,Market B,Banana,Premium,10/01/2025,13015,24373,16490
Maharashtra,Ernakulam,Market A,Black Pepper,Whole,01/12/2024,17505,30898,26755
Goa,Coimbatore,Market E,Cashew,Hybrid,26/07/2024,29305,43126,33122
Sikkim,Kamrup,Market E,Cardamom,Red Delicious,06/05/2024,19964,22593,22176
Himachal Pradesh,Kamrup,Market A,Cardamom,Fresh,09/09/2024,2947,9316,4896
Maharashtra,Gangtok,Market A,Ginger,Red Delicious,24/01/2025,7868,10444,9592
Karnataka,Coimbatore,Market A,Turmeric,Premium,20/11/2024,48453,57361,50239
Nagaland,Mysuru,Market B,Onion,Bold,12/12/2024,96321,109653,107116
Karnataka,Shimla,Market D,Cardamom,Bold,09/05/2024,63781,78163,70361
Jammu & Kashmir,Coimbatore,Market D,Turmeric,Rasthali,28/07/2024,11589,17366,16572
Assam,Coimbatore,Market B,Apple,Hybrid,19/08/2024,83978,94068,92962
Sikkim,Srinagar,Market E,Tomato,Red Delicious,12/04/2025,60469,69251,67517
Tamil Nadu,Coimbatore,Market E,Cashew,Raw,20/11/2024,60186,64429,63575
Sikkim,Kohima,Market D,Arecanut,Rasthali,27/12/2024,41966,49458,44526
Himachal Pradesh,Gangtok,Market B,Turmeric,Rasthali,11/06/2024,12957,27084,14355
Tamil Nadu,Srinagar,Market A,Black Pepper,Fresh,03/10/2024,73924,75406,75125
Karnataka,Mysuru,Market C,Banana,Raw,17/02/2025,47346,62159,58246
Jammu & Kashmir,Ernakulam,Market C,Onion,Red Delicious,09/11/2024,47090,49287,49168
Goa,Kamrup,Market D,Cashew,Rasthali,01/10/2024,46890,61240,56003
Sikkim,Coimbatore,Market C,Onion,Whole,06/01/2025,57244,71591,66434
Maharashtra,Pune,Market E,Cardamom,Hybrid,07/11/2024,87223,101312,98584
Himachal Pradesh,Ernakulam,Market B,Apple,Red Delicious,14/09/2024,45541,51792,45591
Assam,Kamrup,Market E,Arecanut,Rasthali,21/08/2024,19595,32235,29968
Kerala,Coimbatore,Market E,Cashew,Raw,15/01/2025,56028,63960,58820
Assam,Gangtok,Market C,Black Pepper,Hybrid,28/12/2024,79148,81039,80957
Kerala,Kamrup,Market B,Onion,Bold,20/09/2024,89338,91174,89895
Nagaland,Srinagar,Market D,Onion,Premium,23/09/2024,55287,60262,57052
Karnataka,Coimbatore,Market C,Arecanut,Rasthali,19/02/2025,38125,49736,49241
Maharashtra,Kohima,Market E,Apple,Bold,22/08/2024,29903,36878,34812
Kerala,Ernakulam,Market B,Apple,Whole,12/08/2024,18987,32007,23173
Himachal Pradesh,Gangtok,Market A,Cardamom,Premium,25/01/2025,98912,106467,100351
Assam,Srinagar,Market E,Cashew,Local,27/02/2025,74233,88386,85178
Sikkim,Coimbatore,Market D,Cardamom,Raw,17/06/2024,3456,11488,11002
Tamil Nadu,Gangtok,Market E,Arecanut,Hybrid,27/11/2024,54008,66132,64496
Jammu & Kashmir,Shimla,Market A,Arecanut,Bold,01/01/2025,43568,46883,46850
Maharashtra,Kohima,Market C,Banana,Raw,16/03/2025,14875,19361,18444
Maharashtra,Srinagar,Market E,Banana,Raw,09/08/2024,41668,54387,47230
Goa,Gangtok,Market B,Banana,Local,22/01/2025,83998,86366,86171
Karnataka,North Goa,Market C,Black Pepper,Fresh,22/06/2024,31968,34152,32567
Himachal Pradesh,North Goa,Market B,Onion,Fresh,07/02/2025,86918,88652,87280
Nagaland,Kohima,Market E,Onion,Premium,10/09/2024,90277,105228,99525
Maharashtra,Gangtok,Market C,Ginger,Premium,23/03/2025,9950,18132,13572
Himachal Pradesh,Shimla,Market E,Cardamom,Processed,05/06/2024,67497,69212,68132
Nagaland,Kohima,Market A,Cardamom,Processed,17/11/2024,38627,40384,39947
Tamil Nadu,Pune,Market E,Tomato,Raw,18/03/2025,61648,71656,70729
Kerala,Kohima,Market E,Cashew,Processed,01/10/2024,80299,88591,88513
Assam,Ernakulam,Market D,Banana,Processed,09/01/2025,94626,96507,95659
Assam,Ernakulam,Market B,Turmeric,Premium,03/04/2025,69690,78754,72290
Sikkim,Gangtok,Market C,Arecanut,Raw,27/12/2024,45350,56973,55145
Kerala,Gangtok,Market A,Black Pepper,Rasthali,29/01/2025,74133,85747,80466
Himachal Pradesh,Shimla,Market E,Ginger,Processed,13/08/2024,11682,21729,13999
Sikkim,Shimla,Market D,Ginger,Hybrid,04/09/2024,93908,95796,94542
Karnataka,Srinagar,Market C,Ginger,Local,23/03/2025,13249,24333,24233
Jammu & Kashmir,Mysuru,Market C,Cardamom,Processed,15/01/2025,41483,44936,42360
Sikkim,Kohima,Market B,Cashew,Fresh,05/09/2024,21308,23072,21913
Tamil Nadu,Mysuru,Market E,Tomato,Bold,21/07/2024,87760,93777,92822
Assam,Pune,Market D,Ginger,Fresh,03/08/2024,24703,38823,36054
Maharashtra,Kamrup,Market D,Cardamom,Raw,24/01/2025,48749,60330,52640
Nagaland,Pune,Market C,Turmeric,Whole,12/12/2024,70993,75411,73528
Nagaland,North Goa,Market C,Onion,Premium,04/01/2025,61513,74619,66129
Jammu & Kashmir,Mysuru,Market E,Arecanut,Fresh,03/06/2024,27174,40801,37080
Assam,Shimla,Market A,Turmeric,Processed,31/12/2024,73684,75864,75797
Tamil Nadu,Shimla,Market A,Ginger,Red Delicious,27/10/2024,59893,68803,62307
Jammu & Kashmir,Coimbatore,Market B,Turmeric,Processed,07/11/2024,4495,11792,4931
Jammu & Kashmir,Mysuru,Market C,Cashew,Raw,22/02/2025,11696,18338,13535
Kerala,Gangtok,Market A,Black Pepper,Fresh,29/06/2024,19035,20162,19622
Nagaland,Kamrup,Market D,Turmeric,Hybrid,10/02/2025,1688,3486,1726
Himachal Pradesh,North Goa,Market B,Tomato,Hybrid,02/09/2024,70176,77610,71086
Himachal Pradesh,North Goa,Market C,Banana,Bold,25/07/2024,32252,39630,37486
Maharashtra,Kohima,Market A,Banana,Premium,15/11/2024,79215,88497,79484
Karnataka,Pune,Market B,Ginger,Red Delicious,11/08/2024,57261,57786,57622
Goa,Pune,Market D,Ginger,Rasthali,01/08/2024,69614,76022,70168
Karnataka,Mysuru,Market E,Tomato,Local,10/12/2024,3665,10562,7516
Kerala,Srinagar,Market C,Apple,Bold,06/05/2024,47805,61224,48911
Sikkim,North Goa,Market A,Onion,Processed,26/03/2025,18486,19712,19207
Karnataka,Gangtok,Market B,Turmeric,Premium,10/11/2024,83802,87288,87125
Assam,Coimbatore,Market D,Cardamom,Red Delicious,18/04/2025,27422,28639,27830
Kerala,Gangtok,Market C,Tomato,Raw,10/01/2025,72176,80432,76326
Kerala,North Goa,Market C,Black Pepper,Bold,05/04/2025,86948,92886,89186
Tamil Nadu,Gangtok,Market D,Arecanut,Premium,07/12/2024,51678,57732,53208
Nagaland,Kohima,Market C,Tomato,Red Delicious,17/02/2025,11828,24240,18783
Tamil Nadu,Srinagar,Market E,Ginger,Local,05/12/2024,39504,45266,40344
Tamil Nadu,Gangtok,Market C,Apple,Premium,13/04/2025,79986,92244,86967
Assam,Kohima,Market C,Turmeric,Bold,27/06/2024,96265,111019,102041
Maharashtra,Srinagar,Market C,Cardamom,Rasthali,26/04/2024,88973,99918,95628
Sikkim,Mysuru,Market B,Cardamom,Fresh,09/05/2024,80635,92244,87814
Kerala,Kamrup,Market A,Cashew,Processed,03/12/2024,48467,55239,53113
Kerala,Pune,Market B,Turmeric,Processed,10/02/2025,49760,57533,56011
Tamil Nadu,Pune,Market B,Tomato,Processed,29/08/2024,53171,58821,58492
Himachal Pradesh,North Goa,Market A,Cardamom,Fresh,14/07/2024,66410,75392,72750
Karnataka,Coimbatore,Market C,Apple,Premium,06/12/2024,29124,39648,33802
Nagaland,North Goa,Market A,Ginger,Rasthali,06/10/2024,60250,63578,63171
Nagaland,Coimbatore,Market C,Black Pepper,Rasthali,13/05/2024,73089,82471,77846
Himachal Pradesh,Kamrup,Market B,Black Pepper,Local,13/09/2024,30391,32879,31214
Assam,North Goa,Market D,Cardamom,Processed,24/03/2025,73616,83492,79660
Nagaland,Mysuru,Market B,Onion,Rasthali,31/10/2024,9617,15184,12878
Nagaland,Mysuru,Market D,Arecanut,Hybrid,28/08/2024,10666,13219,11964
Tamil Nadu,Kohima,Market D,Tomato,Processed,14/12/2024,17821,32705,31404
Karnataka,Pune,Market B,Ginger,Raw,14/11/2024,66911,81635,67818
Tamil Nadu,Mysuru,Market B,Apple,Fresh,07/05/2024,22229,28015,24076
Sikkim,Mysuru,Market C,Banana,Red Delicious,08/03/2025,26729,37633,35753
Himachal Pradesh,Kamrup,Market C,Onion,Local,10/12/2024,13245,21979,16007
Maharashtra,Pune,Market B,Ginger,Hybrid,20/11/2024,95454,105868,100985
Maharashtra,Ernakulam,Market A,Banana,Bold,07/07/2024,85076,98208,94525
Himachal Pradesh,North Goa,Market E,Arecanut,Hybrid,17/12/2024,84753,85749,85262
Karnataka,Shimla,Market C,Turmeric,Whole,20/12/2024,90783,97936,93219
Nagaland,Coimbatore,Market A,Ginger,Premium,30/05/2024,55476,63909,63085
Goa,Gangtok,Market E,Ginger,Processed,05/01/2025,95157,100888,97986
Jammu & Kashmir,Kamrup,Market C,Tomato,Local,24/02/2025,14917,20645,16897
Nagaland,Coimbatore,Market C,Turmeric,Whole,05/07/2024,19465,21551,19672
Himachal Pradesh,Srinagar,Market E,Arecanut,Whole,15/04/2025,21932,35760,27296
Maharashtra,Gangtok,Market B,Ginger,Premium,30/06/2024,68466,76614,72551
Himachal Pradesh,Kohima,Market A,Banana,Raw,14/06/2024,67249,75240,75168
Goa,North Goa,Market E,Black Pepper,Bold,02/11/2024,7624,12733,11678
Maharashtra,Kohima,Market C,Tomato,Bold,10/10/2024,15089,22649,16186
Himachal Pradesh,Gangtok,Market D,Black Pepper,Bold,17/03/2025,53505,54843,54672
Karnataka,North Goa,Market C,Tomato,Red Delicious,15/05/2024,10637,17466,14767
Nagaland,Mysuru,Market C,Onion,Hybrid,28/10/2024,16572,19180,16968
Jammu & Kashmir,Gangtok,Market C,Tomato,Processed,17/03/2025,99954,102817,100769
Maharashtra,Mysuru,Market D,Tomato,Bold,23/09/2024,6938,8075,7218
Sikkim,Kohima,Market E,Turmeric,Fresh,04/07/2024,80463,89409,82753
Sikkim,Pune,Market C,Ginger,Raw,30/08/2024,81805,94418,86707
Maharashtra,Gangtok,Market E,Tomato,Local,08/09/2024,65205,77316,74427
Himachal Pradesh,Kohima,Market A,Black Pepper,Processed,29/10/2024,89317,91612,91023
Maharashtra,Shimla,Market A,Onion,Premium,14/06/2024,35803,47044,45280
Maharashtra,North Goa,Market A,Onion,Premium,06/03/2025,23349,32438,29578
Assam,North Goa,Market A,Onion,Rasthali,16/11/2024,26006,26816,26457
Sikkim,Srinagar,Market B,Arecanut,Whole,19/10/2024,54788,63509,62514
Kerala,Kamrup,Market E,Cashew,Local,17/05/2024,43604,54953,51441
Karnataka,Srinagar,Market C,Ginger,Premium,26/05/2024,70878,76986,75353
Sikkim,Shimla,Market E,Turmeric,Whole,13/11/2024,33311,38382,37882
Himachal Pradesh,North Goa,Market C,Apple,Whole,17/11/2024,91471,103521,99482
Sikkim,Kohima,Market C,Tomato,Red Delicious,12/01/2025,38721,41217,41069
Karnataka,Srinagar,Market D,Black Pepper,Fresh,11/04/2025,39070,40259,39659
Tamil Nadu,Gangtok,Market D,Apple,Premium,15/08/2024,29047,32857,32438
Karnataka,Shimla,Market E,Apple,Fresh,20/06/2024,15316,25903,24930
Goa,North Goa,Market A,Tomato,Whole,26/01/2025,84616,88930,85046
Tamil Nadu,Srinagar,Market C,Turmeric,Rasthali,06/12/2024,90285,103413,92537
Kerala,Mysuru,Market B,Arecanut,Premium,15/12/2024,63580,74738,66847
Himachal Pradesh,Gangtok,Market C,Cardamom,Rasthali,08/01/2025,86498,96404,90302
Karnataka,Ernakulam,Market B,Arecanut,Fresh,07/06/2024,5763,19963,12267
Nagaland,Kamrup,Market C,Cardamom,Bold,15/05/2024,40110,49915,41868
Sikkim,Shimla,Market D,Tomato,Local,01/12/2024,65738,68436,67803
Nagaland,Shimla,Market B,Banana,Processed,07/09/2024,22298,34776,29816
Himachal Pradesh,Kamrup,Market A,Black Pepper,Red Delicious,27/01/2025,75420,86969,78584
Assam,Pune,Market D,Arecanut,Local,22/02/2025,43982,45903,44802
Tamil Nadu,Kamrup,Market B,Turmeric,Processed,23/09/2024,33512,34123,33779
Jammu & Kashmir,North Goa,Market D,Apple,Processed,28/05/2024,40576,50619,49962
Kerala,Shimla,Market C,Cashew,Bold,01/11/2024,88528,90964,90434
Himachal Pradesh,Kamrup,Market D,Tomato,Red Delicious,24/10/2024,91477,93900,92685
Sikkim,Pune,Market B,Cashew,Fresh,22/11/2024,63676,66685,65539
Maharashtra,Gangtok,Market D,Tomato,Premium,27/08/2024,71453,85092,82333
Goa,North Goa,Market E,Banana,Local,28/04/2024,59556,68709,65483
Tamil Nadu,Pune,Market A,Cardamom,Local,03/07/2024,67255,71067,69600
Karnataka,Kamrup,Market B,Black Pepper,Local,28/05/2024,58912,61316,59753
Maharashtra,Kohima,Market A,Tomato,Premium,14/07/2024,8292,16221,9372
Karnataka,Srinagar,Market D,Onion,Bold,31/12/2024,74242,82317,79753
Himachal Pradesh,Ernakulam,Market D,Apple,Bold,14/02/2025,98754,102824,101122
Tamil Nadu,Ernakulam,Market D,Black Pepper,Rasthali,16/02/2025,71931,73418,72072
Nagaland,Ernakulam,Market C,Arecanut,Fresh,12/10/2024,18750,31797,29260
